question,course,document
"{'question': 'Where can I find the video URL for the upcoming Office Hour or workshop session?', 'answer': 'The video URL will be posted in the announcements channel on Telegram & Slack before the session begins.'}",data-engineering-zoomcamp,04aa4897
"{'question': 'Can I submit my questions for Office Hour or workshop sessions via Zoom?', 'answer': 'No, students participate via Youtube Live and submit questions to Slido.'}",data-engineering-zoomcamp,04aa4897
"{'question': 'What is the policy for submitting questions during busy Office Hour or workshop sessions?', 'answer': ""Don't post your questions in chat as it would be off-screen before the instructors/moderators have a chance to answer it if the room is very active.""}",data-engineering-zoomcamp,04aa4897
"{'question': 'Where should I look to find the link to participate in Office Hour or workshop sessions on Youtube?', 'answer': 'The DataTalksClub YouTube Channel'}",data-engineering-zoomcamp,04aa4897
"What happens if I can't attend the Office Hours / workshop, will it be recorded?",data-engineering-zoomcamp,9681be3b
Is there a way to access the recorded office hours sessions?,data-engineering-zoomcamp,9681be3b
How long after the live Office Hours session is over will the recording be available?,data-engineering-zoomcamp,9681be3b
Can I watch the Office Hours recordings multiple times?,data-engineering-zoomcamp,9681be3b
What should I do if I want to attend a specific Office Hours session but it has already been recorded?,data-engineering-zoomcamp,9681be3b
What is the location of the homework and project deadlines in the course?,data-engineering-zoomcamp,a1daf537
Where can I find the latest and up-to-date deadlines for my assignments in the course?,data-engineering-zoomcamp,a1daf537
Is there a specific document where I can check the assignment deadlines?,data-engineering-zoomcamp,a1daf537
"Besides announcements from @Au-Tomator, are there other ways to know about deadline changes or updates?",data-engineering-zoomcamp,a1daf537
Can the form in the course show updated deadlines if the Instructor(s) has made any changes?,data-engineering-zoomcamp,a1daf537
"Question 1: If late submissions of homework are not allowed, under what circumstances can I still submit my homework after the due date?",data-engineering-zoomcamp,be5bfee4
"Question 2: Is it possible to submit my homework after the due date, even if the homework form is closed?",data-engineering-zoomcamp,be5bfee4
"Question 3: How do I confirm my homework submission after the due date, if the form is still open?",data-engineering-zoomcamp,be5bfee4
Question 4: Is there a specific date-timestamp I need to confirm for my homework submission on the Course page?,data-engineering-zoomcamp,be5bfee4
"Question 5: Can I still submit my homework after the due date, and if so, what sources can I refer to for more information?",data-engineering-zoomcamp,be5bfee4
What is the exact location of the homework submission for the course?,data-engineering-zoomcamp,0e424a44
Where should I upload my solutions for the weekly exercises and assignments?,data-engineering-zoomcamp,0e424a44
"Is it necessary to use GitHub, GitLab, or Bitbucket for submitting homework?",data-engineering-zoomcamp,0e424a44
"Can I use a personal repository on GitHub, GitLab, or Bitbucket for homework submissions?",data-engineering-zoomcamp,0e424a44
What specific elements or contents should I have in my repository for homework submissions?,data-engineering-zoomcamp,0e424a44
How are points awarded for homework submissions in the course management platform?,data-engineering-zoomcamp,29865466
Where can I see the total points I have earned in the course?,data-engineering-zoomcamp,29865466
"Besides homework, how can I earn points in the course?",data-engineering-zoomcamp,29865466
"For FAQ contributions, how many points am I awarded?",data-engineering-zoomcamp,29865466
"For making public links, how many points am I awarded?",data-engineering-zoomcamp,29865466
How can I find my display name on the leaderboard?,data-engineering-zoomcamp,016d46a1
Is my display name the same as my account name?,data-engineering-zoomcamp,016d46a1
Where can I see my display name in the course?,data-engineering-zoomcamp,016d46a1
Can I change my display name if I want to?,data-engineering-zoomcamp,016d46a1
What is the URL for the Homework submission link?,data-engineering-zoomcamp,016d46a1
What is the recommended Python version to use in 2024 for this course?,data-engineering-zoomcamp,47972cb1
Is it still Python 3.9 that is recommended for this course in 2024?,data-engineering-zoomcamp,47972cb1
Does the course support Python versions other than 3.9 in 2024?,data-engineering-zoomcamp,47972cb1
Can I use Python 3.10 or 3.11 in this course instead of 3.9 in 2024?,data-engineering-zoomcamp,47972cb1
Is there a reason for using Python 3.9 over other versions like 3.10 or 3.11 in this course in 2024?,data-engineering-zoomcamp,47972cb1
"What are the options for setting up the course environment and what challenges might I face with each option, especially for Windows users?",data-engineering-zoomcamp,ddf6c1b3
"If I choose to work on a virtual machine, what steps should I follow and why is it a good choice if I have different devices for home and office?",data-engineering-zoomcamp,ddf6c1b3
"Can I start with the 'Introduction to Docker' lesson if I decide to work locally on my laptop or PC, and what issues might I encounter?",data-engineering-zoomcamp,ddf6c1b3
"What are the steps to set up the environment on GitHub Codespaces and a cloud VM, and which one should I consider if I prefer a cloud-based environment?",data-engineering-zoomcamp,ddf6c1b3
"If I face issues with CND2 while setting up the environment on my local machine, what should I do?",data-engineering-zoomcamp,ddf6c1b3
Can I use GitHub Codespaces as an alternative to using command line interface (CLI) or Git Bash for ingesting data and creating a Docker file?,data-engineering-zoomcamp,ac25d3af
What tools are available in GitHub Codespaces that can help me with Docker and Docker Compose?,data-engineering-zoomcamp,ac25d3af
Can I open my GitHub repository in a GitHub Codespace?,data-engineering-zoomcamp,ac25d3af
Does GitHub Codespaces provide pre-installed Linux resources for computing purposes?,data-engineering-zoomcamp,ac25d3af
What programming languages are supported in GitHub Codespaces for working on projects?,data-engineering-zoomcamp,ac25d3af
"If I already have PostgreSQL and Docker installed on my laptop, can I still use them instead of GitHub Codespaces for the course?",data-engineering-zoomcamp,251218fc
Is it mandatory to use GitHub Codespaces for the course? I can work from my laptop using the tools I have installed.,data-engineering-zoomcamp,251218fc
Can I use my existing PostgreSQL and Docker setup for the course instead of GitHub Codespaces?,data-engineering-zoomcamp,251218fc
"Are GitHub Codespaces and GCP VM the only environments supported for the course, or can I complete the course using my own laptop and installed tools?",data-engineering-zoomcamp,251218fc
Is it possible to do the entire course using my locally installed PostgreSQL and Docker instead of GitHub Codespaces?,data-engineering-zoomcamp,251218fc
Is it necessary to use both GitHub Codespaces and Google Cloud Platform (GCP) for the course?,data-engineering-zoomcamp,3c0114ce
Can the course be completed using only GitHub Codespaces?,data-engineering-zoomcamp,3c0114ce
Is it mandatory to use GCP for the course?,data-engineering-zoomcamp,3c0114ce
"Can I complete the course without using BigQuery, which is part of GCP?",data-engineering-zoomcamp,3c0114ce
Is it possible to set up a local environment for the entire course instead of using GitHub Codespaces and GCP?,data-engineering-zoomcamp,3c0114ce
How do I open the Run command window on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Where can I find the Registry Editor on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
What is the correct path to the 'Autorun' registry value in 'Microsoft Command Processor' on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Where is the known_hosts file located in Windows and how can I delete it to resolve connection issues?,data-engineering-zoomcamp,f43f5fe7
Is there an alternative solution to changing the registry value to resolve connection issues with GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
"{'question': 'Why is Google Cloud Platform (GCP) being used instead of other cloud providers for this course?', 'answer': ""For uniformity, but you can use other cloud platforms like AWS if you're comfortable. GCP offers a free trial period and $300 in credits for new users, and we are working with BigQuery, a part of GCP. Note that a valid credit card is required to sign up for a free GCP account.""}",data-engineering-zoomcamp,d061525d
"{'question': 'Is it possible to use other cloud platforms such as AWS during this course?', 'answer': ""Yes, you can use other cloud platforms like AWS if you're comfortable. GCP provides every service that's been offered in Azure and AWS or others.""}",data-engineering-zoomcamp,d061525d
"{'question': 'What are the benefits of using Google Cloud Platform over other cloud providers for this course?', 'answer': 'Benefits include a free trial period and $300 in credits for new users, and the fact that we are working with BigQuery, a part of GCP.'}",data-engineering-zoomcamp,d061525d
"{'question': 'What is required to sign up for a free Google Cloud Platform account for this course?', 'answer': 'A valid credit card is required to sign up for a free GCP account.'}",data-engineering-zoomcamp,d061525d
"{'question': 'Can I use Google Cloud Platform for this course without having a Google account?', 'answer': 'No, everyone needs to have a Google account to use GCP for this course.'}",data-engineering-zoomcamp,d061525d
"{'question': 'Do I need to pay for cloud services for this course?', 'answer': 'No, if you use Google Cloud Platform (GCP) and take advantage of their free trial.'}",data-engineering-zoomcamp,1cd01b2c
"{'question': ""Is there a specific cloud platform that's recommended for this course?"", 'answer': 'Yes, Google Cloud Platform (GCP) is recommended.'}",data-engineering-zoomcamp,1cd01b2c
"{'question': 'Can I continue using GCP after the free trial ends?', 'answer': ""Yes, you can continue using GCP after the free trial ends, but you'll need to pay for the services you're using.""}",data-engineering-zoomcamp,1cd01b2c
"{'question': 'Are there any other cloud services that are compatible with this course?', 'answer': ""While GCP is the recommended platform, you're welcome to use other cloud services if you prefer, but keep in mind that results may vary.""}",data-engineering-zoomcamp,1cd01b2c
"{'question': 'What are the benefits of using Google Cloud Platform for this course?', 'answer': 'Google Cloud Platform offers a free trial, which allows you to use their services without immediate cost. This can be beneficial for students who want to familiarize themselves with the platform without incurring expenses.'}",data-engineering-zoomcamp,1cd01b2c
"{'question': 'Can I complete the course without using cloud providers like GCP, if they are unavailable in my country?', 'answer': ""Yes, most of the course materials can be run locally. We won't be able to provide guidelines for some things, but most of the materials are runnable without GCP.""}",data-engineering-zoomcamp,e4a7c3b0
"{'question': 'Is it possible to set up a home lab for the course?', 'answer': 'Yes, you can do most of the course without a cloud. You could even do the whole course locally.'}",data-engineering-zoomcamp,e4a7c3b0
"{'question': 'What alternatives are available for the cloud services used in the course, if I cannot access cloud providers like GCP?', 'answer': ""For everything in the course, there's a local alternative.""}",data-engineering-zoomcamp,e4a7c3b0
"{'question': 'What parts of the course cannot be done locally, if I decide to set up a home lab?', 'answer': 'We won’t be able to provide guidelines for some things, but most of the materials are runnable without GCP.'}",data-engineering-zoomcamp,e4a7c3b0
"{'question': 'Is it feasible to perform the entire course locally, without relying on cloud providers?', 'answer': 'Yes, you could do the whole course locally.'}",data-engineering-zoomcamp,e4a7c3b0
"{'question': 'Can I use Amazon Web Services (AWS) for this course?', 'answer': ""Yes, you can. However, you'll need to adapt all the information from the videos to AWS. Also, it might be more challenging to get help as the number of coursemates using AWS might be smaller.""}",data-engineering-zoomcamp,7cd1912e
"{'question': 'Is it possible to create a data pipeline and visualization using AWS in the final capstone project?', 'answer': 'Yes, the final capstone project requires you to create a data pipeline and visualization, and you can use AWS for that.'}",data-engineering-zoomcamp,7cd1912e
"{'question': 'Will the course provide assistance if I encounter issues while using AWS?', 'answer': ""You'd need to rely on fellow coursemates who also use AWS (or have experience using it before), as the course might have fewer people using AWS.""}",data-engineering-zoomcamp,7cd1912e
"{'question': 'Is it possible to use a different tool instead of the one tool used in the course?', 'answer': ""Refer to the answer to the question 'Is it possible to use AWS instead of the one tool you use?'. The same principles apply.""}",data-engineering-zoomcamp,7cd1912e
"{'question': ""What happens if I don't have any experience using AWS before this course?"", 'answer': 'While you can use AWS, you may find it challenging to get help since the number of coursemates using AWS might be smaller. It might be beneficial to familiarize yourself with AWS beforehand.'}",data-engineering-zoomcamp,7cd1912e
What other live Zoom calls are scheduled besides the Office Hour?,data-engineering-zoomcamp,52393fb3
Are there any additional live Zoom calls planned during the Capstone period?,data-engineering-zoomcamp,52393fb3
"If there are additional live Zoom calls during the Capstone period, will they be announced in advance?",data-engineering-zoomcamp,52393fb3
Can I expect to have some live Zoom calls outside of the office hour to clear questions during the Capstone period?,data-engineering-zoomcamp,52393fb3
Will the schedule for any additional live Zoom calls during the Capstone period be communicated in advance?,data-engineering-zoomcamp,52393fb3
"{'question': 'What data set will we be using for the course project this year?', 'answer': 'We will use the same data as last year, which is the NYC Trip data for January 2021.'}",data-engineering-zoomcamp,10515af5
"{'question': 'Is there a change in the data set for the project compared to last year?', 'answer': 'No, the data set for the project remains the same as last year, which is the NYC Trip data for January 2021.'}",data-engineering-zoomcamp,10515af5
"{'question': 'Will we be working with the data for January 2022 in this course?', 'answer': 'No, we will be using the same data as last year, which is the NYC Trip data for January 2021.'}",data-engineering-zoomcamp,10515af5
"{'question': 'Is there a different data source for the course project this year?', 'answer': 'No, we will continue to use the NYC Trip data for January 2021 for the course project.'}",data-engineering-zoomcamp,10515af5
"{'question': 'Can you confirm if we are using the NYC Trip data for January 2022 or the same data as last year for the course project?', 'answer': 'We will be using the same data as last year, which is the NYC Trip data for January 2021 for the course project.'}",data-engineering-zoomcamp,10515af5
"{'question': 'Where can I find the 2022 course materials as they were previously located?', 'answer': 'No, but we moved the 2022 stuff here'}",data-engineering-zoomcamp,cdb86a97
"{'question': 'Have the 2022 course materials been deleted entirely?', 'answer': 'No, but we moved the 2022 stuff here'}",data-engineering-zoomcamp,cdb86a97
"{'question': ""I'm looking for the 2022 course materials, have they been archived?"", 'answer': 'No, but we moved the 2022 stuff here'}",data-engineering-zoomcamp,cdb86a97
"{'question': 'Did the 2022 course materials get removed from their original location?', 'answer': 'No, but we moved the 2022 stuff here'}",data-engineering-zoomcamp,cdb86a97
"{'question': ""I can't find the 2022 course materials in their original repository. Have they been moved somewhere else?"", 'answer': 'No, but we moved the 2022 stuff here'}",data-engineering-zoomcamp,cdb86a97
"Is it mandatory to use the specific tool provided in the course for the final project, or can I use Airflow instead?",data-engineering-zoomcamp,3e0114ad
What are the requirements for selecting the tool to be used in the final project?,data-engineering-zoomcamp,3e0114ad
"Since the course materials suggest a particular tool, can I still use Airflow for my final project?",data-engineering-zoomcamp,3e0114ad
"Is there flexibility in choosing the tool for the final project, such as using Airflow instead of the recommended tool?",data-engineering-zoomcamp,3e0114ad
"Can I use any other data processing tool, such as Airflow, for my final project instead of the one suggested in the course?",data-engineering-zoomcamp,3e0114ad
Can I use Airflow or Prefect instead of Mage in the course?,data-engineering-zoomcamp,b2799574
Is it possible to use AWS instead of GCP products in the course?,data-engineering-zoomcamp,b2799574
Can I use Tableau instead of Metabase or Google Data Studio in the course?,data-engineering-zoomcamp,b2799574
"If I choose to use a different data stack, such as AWS or a different tool like Airflow, will the course still provide support?",data-engineering-zoomcamp,b2799574
"If I opt to use a different tool (like Tableau) for my capstone project, will I need to explain the reasons behind my choice to my peers during the review process?",data-engineering-zoomcamp,b2799574
What is the best way to contribute to the course?,data-engineering-zoomcamp,2f19301f
Can I improve the course repository by creating a pull request?,data-engineering-zoomcamp,2f19301f
How can I show my appreciation for the course by contributing?,data-engineering-zoomcamp,2f19301f
"If I find any errors or have suggestions for the course material, how can I share them?",data-engineering-zoomcamp,2f19301f
What specific actions are encouraged for contributing to the course?,data-engineering-zoomcamp,2f19301f
"{'question': 'What is the recommended operating system for the course?', 'answer': 'Linux is ideal, but the course should work on all three operating systems (Windows, macOS, Linux)'}",data-engineering-zoomcamp,7c700adb
"{'question': 'Is the course compatible with macOS?', 'answer': 'Yes, the course is compatible with macOS'}",data-engineering-zoomcamp,7c700adb
"{'question': 'Can I take the course using a Windows operating system?', 'answer': 'Yes, the course can be taken using a Windows operating system'}",data-engineering-zoomcamp,7c700adb
"{'question': 'Is there any preference for Linux over other operating systems in the course?', 'answer': 'Linux is suggested, but the course should work on all three OSes'}",data-engineering-zoomcamp,7c700adb
"{'question': ""I'm planning to use a different operating system besides Linux/Windows/macOS. Will I face any issues?"", 'answer': ""Since the course has been successfully completed on all three OSes, it's technically possible to use a different operating system, but it's recommended to use one of the mentioned ones for the best experience""}",data-engineering-zoomcamp,7c700adb
"{'question': 'What is the issue with Windows users accessing modules that contain *.sh files?', 'answer': 'Windows users may encounter a roadblock as most shell scripts are in *.sh files, and without WSL, they cannot continue, even in Git Bash or MINGW64.'}",data-engineering-zoomcamp,44b14808
"{'question': 'Why is the WSL environment setup recommended from the start?', 'answer': 'WSL environment setup is recommended because it resolves the issue Windows users face with running shell scripts in later modules.'}",data-engineering-zoomcamp,44b14808
"{'question': 'Can I still proceed with the course if I am a Windows user and do not have WSL set up?', 'answer': 'You can still proceed with the course; however, you may encounter roadblocks in later modules that use shell scripts in *.sh files.'}",data-engineering-zoomcamp,44b14808
"{'question': 'Are there alternative solutions for Windows users to run shell scripts in Git Bash or MINGW64?', 'answer': 'No, there are no known alternative solutions for Windows users to run shell scripts in Git Bash or MINGW64 without encountering issues.'}",data-engineering-zoomcamp,44b14808
"{'question': 'Are there any FAQ entries that address the issue with Windows users and *.sh files?', 'answer': 'There are no FAQ entries that I can find that address the issue with Windows users and *.sh files.'}",data-engineering-zoomcamp,44b14808
"{'question': 'What additional books are recommended for the course?', 'answer': 'Refer to the list in this document: https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/awesome-data-engineering.md'}",data-engineering-zoomcamp,76e4baf6
"{'question': 'Are there any additional resources aside from books that are recommended for the course?', 'answer': 'Yes, check out this document for additional resources: https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/awesome-data-engineering.md'}",data-engineering-zoomcamp,76e4baf6
"{'question': 'Where can I find a list of recommended books for the course?', 'answer': 'You can find the list in this document: https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/awesome-data-engineering.md'}",data-engineering-zoomcamp,76e4baf6
"{'question': ""I'm looking for more resources to supplement my learning in the course. Can you help?"", 'answer': 'Definitely! I recommend checking out this document for additional resources: https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/awesome-data-engineering.md'}",data-engineering-zoomcamp,76e4baf6
"{'question': ""I'm interested in finding more resources to complement my studies. Can you provide a list of recommended resources for the course?"", 'answer': 'Yes, I recommend this document for a list of recommended resources: https://github.com/DataTalksClub/data-engineering-zoomcamp/blob/main/awesome-data-engineering.md'}",data-engineering-zoomcamp,76e4baf6
What happens if I miss the deadline for Project Attempt #1?,data-engineering-zoomcamp,48b533a8
Can I resubmit my project after failing Project Attempt #1?,data-engineering-zoomcamp,48b533a8
Is there a limit to the number of times I can submit my project?,data-engineering-zoomcamp,48b533a8
What is the purpose of Project Attempt #2?,data-engineering-zoomcamp,48b533a8
What happens if I submit my project late for Project Attempt #1?,data-engineering-zoomcamp,48b533a8
What should I do if I encounter an issue during the course?,data-engineering-zoomcamp,954044d1
How can I find solutions for errors in my code when I'm stuck?,data-engineering-zoomcamp,954044d1
What are the steps to troubleshoot an issue in the course?,data-engineering-zoomcamp,954044d1
What information should I provide when I ask a question related to a problem in the course?,data-engineering-zoomcamp,954044d1
What are the best practices when asking a question about a technical issue in the course?,data-engineering-zoomcamp,954044d1
question1,data-engineering-zoomcamp,a820b9b3
question2,data-engineering-zoomcamp,a820b9b3
question3,data-engineering-zoomcamp,a820b9b3
question4,data-engineering-zoomcamp,a820b9b3
question5,data-engineering-zoomcamp,a820b9b3
question1,data-engineering-zoomcamp,f2945cd2
question2,data-engineering-zoomcamp,f2945cd2
question3,data-engineering-zoomcamp,f2945cd2
question4,data-engineering-zoomcamp,f2945cd2
question5,data-engineering-zoomcamp,f2945cd2
What should I do if I encounter the error 'Error: Makefile:2: *** missing separator. Stop.' when using VS Code with spaces in tabs?,data-engineering-zoomcamp,eb9d376f
How can I resolve the issue of missing separator in Makefile when using spaces for tabs in VS Code?,data-engineering-zoomcamp,eb9d376f
"When I receive the error 'Error: Makefile:2: *** missing separator. Stop.' in VS Code, what action should I take to fix it?",data-engineering-zoomcamp,eb9d376f
I'm having trouble with Makefile in VS Code due to spaces in tabs causing 'Error: Makefile:2: *** missing separator. Stop.'. What's a solution to this problem?,data-engineering-zoomcamp,eb9d376f
"In VS Code, I'm getting an error that says 'Error: Makefile:2: *** missing separator. Stop.' due to spaces in tabs. How can I correct this issue?",data-engineering-zoomcamp,eb9d376f
What is the method to open an HTML file with a Windows browser from Linux running on WSL?,data-engineering-zoomcamp,72f25f6d
How can I open an HTML file on my guest Linux system using an Internet Browser installed on my host Windows when using WSL 2?,data-engineering-zoomcamp,72f25f6d
What command should I use to open an HTML file with a specific browser installed on my host Windows in WSL 2?,data-engineering-zoomcamp,72f25f6d
"Can I customize which browser is used to open HTML files in WSL 2 when using an Internet Browser installed on my host Windows? If so, how?",data-engineering-zoomcamp,72f25f6d
What is wslview and how can it be used to open an HTML file from the guest Linux with an Internet Browser installed on the host Windows in WSL 2?,data-engineering-zoomcamp,72f25f6d
"{'question': 'How can I set up Chrome Remote Desktop for Linux on Compute Engine?', 'answer': 'Follow this tutorial to set up the Chrome Remote Desktop service on a Debian Linux virtual machine (VM) instance on Compute Engine: [link to tutorial]'}",data-engineering-zoomcamp,a1e59afc
"{'question': 'I am facing an error while downloading the 2021 Taxi Data, what should I do?', 'answer': ""Use this backup link instead: [backup data link]. The correct download link is: [correct data link]. After downloading, use the 'gzip -d file.gz' command to unzip the data.""}",data-engineering-zoomcamp,a1e59afc
"{'question': 'What is the correct link to download the 2021 Taxi Data from the backup?', 'answer': '[backup data link]'}",data-engineering-zoomcamp,a1e59afc
"{'question': 'Where can I find the correct link to download the 2021 Taxi Data from the backup?', 'answer': 'The correct link is: [correct data link]'}",data-engineering-zoomcamp,a1e59afc
"{'question': 'What command should I use to unzip the downloaded 2021 Taxi Data?', 'answer': ""Use the 'gzip -d file.gz' command to unzip the data.""}",data-engineering-zoomcamp,a1e59afc
